"Pack","Source","Imported","Bytes","SHA256"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/chest.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/chest.fbx","63200","bfab9f2623544ce480159b57db45db2a14d71e0b4a8971f2b55be44212857ac4"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/barrel.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/barrel.fbx","28336","f13f901ae07c3183a4716689869aebbb487d67d7d5676afc00f6e5f73e168f97"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/coin.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/coin.fbx","29712","9cae80180de20b04231e0d3409ab25eb4859f0bedff86b39c3f04bda9310dc0f"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/key.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/key.fbx","30544","d62f098bfc1f406fc40d9ba54f3ff7b13d09e3bbe5c9d97da894dd579a083cb6"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/potion.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/potion.fbx","29488","351396c73efdab5d7dc3c29d58d2e53d658069656c958768d054aea3d782f0cd"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/shield-round.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/shield-round.fbx","32656","d5cc44fae1edb364b09c7a5f04e13d65313ee11829ccb387367d83a4902149bc"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/character-orc.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/character-orc.fbx","707840","5370a1f3fdfedc3ee5edd847319423dd2a4697cd3e257800efdb385ea74d8d92"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/column.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/column.fbx","28496","b078ec4e352c3f8a87ce8028c2673ea719febdfd1498a407ee8d87fd19832b13"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/wood-support.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/wood-support.fbx","26304","4cedb00a5b43e2c5fcc16fa67c7dfd201c894d46a5e0855f7b7c18f472e3a151"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/wood-structure.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/wood-structure.fbx","29792","e55009f1bb93a9b26b406daa263e9d9ee98fc5e96f07027f53bd1cf94f258549"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/gate.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/gate.fbx","54960","f1c422874f1af29089e0c61d9c6ac720981d5af14540905dfdbbb712c0878b98"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/weapon-sword.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/weapon-sword.fbx","28368","554e8111488b5263d007eb7e16c2ce7618f2fa165486a19f88c20207e92e9112"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/pot.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/pot.fbx","38288","34e3e235ec1514fc8ead2ced8b18ea5699a5aa46decdb7d974748ff8b94e781e"
"MiniDungeon","kenney_mini-dungeon/License.txt","Assets/ImportedAssets/Kenney/MiniDungeon/License.txt","701","f8b470068a1c043854101c9ff7161d376ba02c36239da3c1dbdfa928b08444b6"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/Textures/colormap.png","Assets/ImportedAssets/Kenney/MiniDungeon/Models/Textures/colormap.png","10838","bc492d755caf9e64924447f065681be0d5438a33cd0acddc72f3d00fd75893be"
"MiniDungeon","kenney_mini-dungeon/Models/Textures/variation-a.png","Assets/ImportedAssets/Kenney/MiniDungeon/Textures/variation-a.png","10763","c0b958992f6b40c974a1583a878711d1c13d4f0ea20a0cb02b5982cb44362f41"
"MiniDungeon","kenney_mini-dungeon/Models/FBX format/dirt.fbx","Assets/ImportedAssets/Kenney/MiniDungeon/Models/dirt.fbx","27472","2c0163aede24f9752ba8ba75222e7d63e2eb619267e0495ecb341a0082035069"
